,Category,Description,Family,Family and Type,Mark,Type,Type Mark,Assembly Code,Assembly Description,Revit.ElementId
15,Walls,,MURO_TIPOA6,MURO_TIPOA6: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ab6b
16,Walls,,MURO_TIPOB8,MURO_TIPOB8: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ab8d
17,Walls,,MURO_TIPOA7,MURO_TIPOA7: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004abd6
18,Walls,,MURO_TIPOB9,MURO_TIPOB9: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004abf8
19,Walls,,MURO_TIPOB10,MURO_TIPOB10: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ac1a
20,Walls,,MURO_TIPOA8,MURO_TIPOA8: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ac5d
21,Walls,,MURO_TIPOB11,MURO_TIPOB11: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ac7f
22,Walls,,MURO_TIPOB12,MURO_TIPOB12: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004aca1
23,Walls,,MURO_TIPOA9,MURO_TIPOA9: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004acd4
24,Walls,,MURO_TIPOB13,MURO_TIPOB13: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004acf6
25,Walls,,MURO_TIPOB14,MURO_TIPOB14: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ad18
26,Walls,,MURO_TIPOA10,MURO_TIPOA10: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ad6f
27,Walls,,MURO_TIPOB15,MURO_TIPOB15: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ad91
28,Walls,,MURO_TIPOB16,MURO_TIPOB16: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004adb3
29,Walls,,MURO_TIPOA11,MURO_TIPOA11: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004add7
30,Walls,,MURO_TIPOB17,MURO_TIPOB17: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004adf9
31,Walls,,MURO_TIPOB18,MURO_TIPOB18: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ae1b
32,Walls,,MURO_TIPOA12,MURO_TIPOA12: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ae45
33,Walls,,MURO_TIPOB19,MURO_TIPOB19: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ae67
34,Walls,,MURO_TIPOB20,MURO_TIPOB20: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ae89
35,Walls,,MURO_TIPOA13,MURO_TIPOA13: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004aead
36,Walls,,MURO_TIPOB21,MURO_TIPOB21: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004aecf
